# Northing Easting Elevation
5693178 465142 1
5693178 466142 1
5693178 467142 1
5693178 468142 1
5693178 469142 1
5693178 470142 1
5693178 471142 1
5693178 472142 1
5693178 473142 1
5693178 474142 1
5693178 475142 1
5693178 476142 1
5693178 477142 1
5693178 478142 1
5693178 479142 1
5693178 480142 1
5693178 481142 1
5693178 482142 1
5693178 483142 1
5693178 484142 1
5693178 485142 1
5693178 486142 1
5693178 487142 1
5693178 488142 1
5693178 489142 1
5693178 490142 1
5693178 491142 1
5693178 492142 1
5693178 493142 1
5693178 494142 1
5693178 495142 1
5693178 496142 1
5693178 497142 1
5693178 498142 1
5693178 499142 1
5693178 500142 1
5693178 501142 1
5693178 502142 1
5693178 503142 1
5693178 504142 1
5693178 505142 1
5693178 506142 1
5693178 507142 1
5693178 508142 1
5693178 509142 1
5693178 510142 1
5693178 511142 1
5693178 512142 1
5693178 513142 1
5693178 514142 1
5693178 515142 1
5693178 516142 1
5693178 517142 1
5693178 518142 1
5693178 519142 1
5693178 520142 1
5693178 521142 1
5693178 522142 1
5693178 523142 1
5693178 524142 1
5693178 525142 1
5693178 526142 1
5693178 527142 1
5693178 528142 1
5693178 529142 1
5693178 530142 1
5693178 531142 1
5693178 532142 1
5693178 533142 1
5693178 534142 1
5693178 535142 1
5694178 432142 1
5694178 433142 1
5694178 434142 1
5694178 435142 1
5694178 436142 1
5694178 437142 1
5694178 438142 1
5694178 439142 1
5694178 440142 1
5694178 441142 1
5694178 442142 1
5694178 443142 1
5694178 444142 1
5694178 445142 1
5694178 446142 1
5694178 447142 1
5694178 448142 1
5694178 449142 1
5694178 450142 1
5694178 451142 1
5694178 452142 1
5694178 453142 1
5694178 454142 1
5694178 455142 1
5694178 456142 1
5694178 457142 1
5694178 458142 1
5694178 459142 1
5694178 460142 1
5694178 461142 1
5694178 462142 1
5694178 463142 1
5694178 464142 1
5694178 465142 1
5694178 466142 1
5694178 467142 1
5694178 468142 1
5694178 469142 1
5694178 470142 1
5694178 471142 1
5694178 472142 1
5694178 473142 1
5694178 474142 1
5694178 475142 1
5694178 476142 1
5694178 477142 1
5694178 478142 1
5694178 479142 1
5694178 480142 1
5694178 481142 1
5694178 482142 1
5694178 483142 1
5694178 484142 1
5694178 485142 1
5694178 486142 1
5694178 487142 1
5694178 488142 1
5694178 489142 1
5694178 490142 1
5694178 491142 1
5694178 492142 1
5694178 493142 1
5694178 494142 1
5694178 495142 1
5694178 496142 1
5694178 497142 1
5694178 498142 1
5694178 499142 1
5694178 500142 1
5694178 501142 1
5694178 502142 1
5694178 503142 1
5694178 504142 1
5694178 505142 1
5694178 506142 1
5694178 507142 1
5694178 508142 1
5694178 509142 1
5694178 510142 1
5694178 511142 1
5694178 512142 1
5694178 513142 1
5694178 514142 1
5694178 515142 1
5694178 516142 1
5694178 517142 1
5694178 518142 1
5694178 519142 1
5694178 520142 1
5694178 521142 1
5694178 522142 1
5694178 523142 1
5694178 524142 1
5694178 525142 1
5694178 526142 1
5694178 527142 1
5694178 528142 1
5694178 529142 1
5694178 530142 1
5694178 531142 1
5694178 532142 1
5694178 533142 1
5694178 534142 1
5694178 535142 1
5695178 432142 1
5695178 433142 1
5695178 434142 1
5695178 435142 1
5695178 436142 1
5695178 437142 1
5695178 438142 1
5695178 439142 1
5695178 440142 1
5695178 441142 1
5695178 442142 1
5695178 443142 1
5695178 444142 1
5695178 445142 1
5695178 446142 1
5695178 447142 1
5695178 448142 1
5695178 449142 1
5695178 450142 1
5695178 451142 1
5695178 452142 1
5695178 453142 1
5695178 454142 1
5695178 455142 1
5695178 456142 1
5695178 457142 1
5695178 458142 1
5695178 459142 1
5695178 460142 1
5695178 461142 1
5695178 462142 1
5695178 463142 1
5695178 464142 1
5695178 465142 1
5695178 466142 1
5695178 467142 1
5695178 468142 1
5695178 469142 1
5695178 470142 1
5695178 471142 1
5695178 472142 1
5695178 473142 1
5695178 474142 1
5695178 475142 1
5695178 476142 1
5695178 477142 1
5695178 478142 1
5695178 479142 1
5695178 480142 1
5695178 481142 1
5695178 482142 1
5695178 483142 1
5695178 484142 1
5695178 485142 1
5695178 486142 1
5695178 487142 1
