gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,35,12533.5122114677,0.0000000000,0.0000000000,2.8101553187,147.2248265714,958.1175264055,113.2069891309,11.6637064192,0.4388798208,789.0614065244,225.1947046878,0.3600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,36,12864.6097728974,0.0000000000,0.0000000000,2.7539903042,149.9788168757,979.3505312156,119.5836173767,11.9718263371,0.4504737009,818.7426152631,239.5497077042,0.3700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,37,13195.7073343270,0.0000000000,0.0000000000,2.6989478287,152.6777647044,1000.4690573737,126.1349477663,12.2799462549,0.4620675811,848.4099389890,254.3248217724,0.3800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,38,13526.8048957567,0.0000000000,0.0000000000,2.6450054566,155.3227701610,1021.4767113400,132.8609802995,12.5880661727,0.4736614612,878.0397439241,269.5124887145,0.3900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,39,13857.9024571863,0.0000000000,0.0000000000,2.5921412007,157.9149113618,1042.3768965881,139.7617149765,12.8961860905,0.4852553414,907.6093282253,285.1047954028,0.4000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,40,14189.0000186160,0.0000000000,0.0000000000,2.5403335134,160.4552448752,1063.1728298099,146.8371517972,13.2043060084,0.4968492215,937.0969025715,301.0935004665,0.4100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,41,14520.0975800457,0.0000000000,0.0000000000,2.4895612776,162.9448061528,1083.8675554638,154.0872907616,13.5124259262,0.5084431017,966.4815708298,317.4700600072,0.4200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,42,14851.1951414753,0.0000000000,0.0000000000,2.4398037982,165.3846099510,1104.4639588714,161.5121318697,13.8205458440,0.5200369818,995.7433108126,334.2256523500,0.4300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,43,15182.2927029050,0.0000000000,0.0000000000,2.3910407940,167.7756507450,1124.9647780364,169.1116751215,14.1286657618,0.5316308620,1024.8629551386,351.3512018538,0.4400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,44,15513.3902643346,0.0000000000,0.0000000000,2.3432523889,170.1189031339,1145.3726143382,176.8859205171,14.4367856796,0.5432247421,1053.8221722080,368.8374018055,0.4500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
